baseline_seconds,candidate_seconds
25.368460579324804,33.626405712812826
26.06105136298098,33.3588495638482
25.52386601839616,32.762530255240684
25.606505867482795,33.612074227801365
25.735067475785865,33.32240334504533
25.67956334842506,33.41298389857561
25.602482409084562,33.4433644184225
26.19994594072469,33.57882395534197
25.87809206473738,33.41720812724367
25.588144847612956,33.57927213237931
25.670056014181387,32.991982136789936
25.483502917600052,33.3805159674267
25.96206350962092,33.6997680763782
25.864179166039726,32.41522959336417
25.33223798831582,33.12059445181964
25.96857432824671,33.28789079353969
25.395570273197716,33.14090410318631
25.312014115742265,33.191449565817805
26.09306381042865,33.35276354225504
26.362226353730158,33.101751130008935
25.885854450870923,33.016150635962326
25.69514066558927,32.84120161309005
25.614228426494122,33.640930962397405
25.760961355265835,32.99708759669842
25.658281139232678,32.98096617532292
25.864608141678318,33.125934748763214
25.33671393518455,32.97326140196881
26.0688560974007,33.31379802817291
25.683365878663725,33.1889224288459
25.475770496122518,33.082056680031705
25.83605105686901,33.020439048610626
25.929524724350255,33.2130225722394
25.206850664353844,33.4708734309097
25.59471090223508,33.32232057563609
25.7204769134068,33.59422195988269
25.56087323797354,33.27321967943526
25.56007913196715,33.099490628899744
25.485951758205495,34.057470097344634
25.68675914381177,32.707069578837256
25.48689988194357,33.237385873925454
25.39065220983369,33.418010025151005
26.02491895354583,33.39204083589133
25.958391751512984,33.56969931930636
25.86762616688733,33.054812578969
25.84803190809718,33.37534569682671
25.890812372320752,33.71687735754926
25.572956739786655,33.044827276403176
25.643048417433945,33.41660239036709
26.26271426100866,33.761139580819034
25.899355940976605,33.94325124650091
25.50398729191066,32.62024962639926
25.54831110177673,32.970896492220284
25.32206751371382,33.230401395340365
25.641156339703986,33.49176954177783
25.986826470120576,33.890899338887195
25.734033890217106,33.71240213942177
25.265259543370867,33.261113991228086
25.583416791805046,33.20956375822503
25.492776211853975,33.791122712242434
25.61572959529431,33.15017564391664
25.738678802233327,33.14357201728396
25.593970545392445,33.37544843917719
25.59680488021048,33.48408465869167
25.345549333512988,33.47995245703588
25.77468452710895,33.23831898339358
25.448772937228913,33.20802599032111
25.261806283635142,32.75809451535942
25.35327666583848,32.627001533385105
25.38179267463996,32.9996380138592
25.598706654756505,33.60704787322803
26.019377692140548,33.096391411436215
25.92268191083249,33.903736975551126
25.23887431049448,33.696162876655556
25.57867355726166,33.52904499193615
25.181136339395504,33.467804878941564
25.73368365395797,33.3215816180974
25.39368969243805,33.562084144485084
25.99531906002397,32.87753403861327
25.737307168637262,33.0405272528601
25.60215566124807,33.13798818620533
25.55745535573031,33.23342348505133
25.849479586989382,33.80900314109158
25.86192066439121,33.00494739198298
25.771892549561635,33.54187078444443
25.2640036391345,33.52488867030167
25.736020712873316,33.13500659903198
26.247471420628912,32.88462650374802
25.981725195858342,33.2815498736708
25.612166951815173,32.236850043917705
25.507127025117462,33.01763060969285
25.572014217469256,32.93658704752063
25.747684764545976,33.620226015492456
25.26807044642875,33.076742300796006
24.7827204517635,32.92303403906888
25.68414247495041,33.58120030977934
25.665350525190004,33.08025270607813
25.74704473038444,33.82624793217559
25.87425412896359,33.64418256508313
25.28617777939798,33.226256162527406
25.895045662933285,32.823261487303355
25.450472873615553,33.283850061788804
25.473823228830447,33.08371923066889
25.458185372915672,32.833770683761394
25.453255563734146,32.76944780339038
25.611698795392396,33.1476849937741
25.707347395190215,32.87075933810603
26.112208376817726,34.27962766074534
25.79301417166038,33.70336088983637
25.87000211297369,32.93067732837453
25.753613952171527,33.28585475889338
25.754115316881997,33.73778599364756
25.134266168572513,32.893854774915944
25.374552887219107,33.40637661293596
25.773172167674513,32.84500553820812
25.62123879762658,33.24953627875931
25.053117944124686,33.28829363423453
25.708689750166986,33.30022626300742
25.986802399111934,33.507268459477636
25.630250464011976,32.70895338415456
25.868157912213658,33.168354341990515
26.20399721019956,34.25198708468337
25.2347935146759,33.12455609727509
25.465827352177932,33.26632740568242
25.82681592828479,32.385847977149325
25.347907045738047,33.22933900346894
25.322553425134014,33.05677183460942
25.689128587590798,33.50594186716266
25.627707583463785,33.06927957075203
25.097076632769298,32.860442338654394
25.692379855632353,33.59167162146375
25.463464319330477,33.1856322139045
26.037898504476924,33.25086749060873
25.843877970037983,33.25532635200986
26.052077560115187,33.64299885865618
25.85937510775796,33.10667362383538
24.768438286168884,33.14241880926622
25.773388453939525,33.678326633759966
25.60163648306316,32.59386153192487
25.549667526084217,33.00748281579468
25.13767016473187,32.91608456699216
25.24041553995658,33.332981016186004
25.84170372996984,33.00438232408498
25.632274749861843,32.82922668919531
25.3806780688087,33.58580376753611
26.078976893508163,33.70416995535064
25.94195661146195,33.659336845447534
26.166403913000895,33.53432876652995
25.882127604096965,33.061834698357906
25.533912633786084,33.59056760001293
25.37965434852897,33.12808003723215
25.86398871488704,32.64113339492634
25.297702104317914,33.346187822641966
26.114650469181377,33.588826990651135
25.744933468788854,33.012199510059375
25.523962544556614,33.125723326965996
25.56342282797109,33.68745653848731
25.736074490427853,32.94247025866009
26.53860013122176,33.947435344823155
25.41559788064199,33.24485482088143
25.69890907307158,33.12926806895567
25.525268690996143,33.667118303515096
25.720840813700125,32.442880782345505
26.054665142098372,34.06240110675077
25.73556845553547,33.45369151104747
25.496815542301867,33.7938453212459
25.782856443697902,33.28214156728633
26.040158510836214,33.436735666758295
25.867560211664973,33.86136622121728
25.497752134021724,33.5686997117533
25.404153416807418,33.41871230638197
26.300839030441896,33.800772512145784
25.79778858870594,33.559474669945246
25.35096491068736,32.566120987232
25.54840530952604,33.323267650205054
25.512282959041347,33.18467579427106
25.66445401227289,33.12615778325944
25.0389781586773,33.2427110726242
26.09804859928246,33.49055428719137
25.67145876764672,33.34240935178635
25.29849075399622,32.99703871296214
25.617331732996718,32.98754030860884
25.967743943665948,33.03603664831249
25.204474804444075,33.17434704434407
25.688097372658213,33.262027745653114
25.309640650078524,32.861308289429175
26.17929511356663,33.81964699228619
26.026543163873374,32.09265103802843
25.772634571258298,32.919104654485885
25.174543436429847,32.960804063940444
25.528979636495556,32.916816134197006
25.35219316389941,33.52830126191271
25.80369310614106,33.51510415606498
25.77695731979508,33.477753562018044
25.729193530042167,33.57351867778997
25.444317390435863,33.628730303805945
25.343951772077496,33.13239508019114
25.525302788329263,33.109533924263275
25.418803511605283,33.5170513865596
25.855699516704806,33.365076647257254
25.595824668775464,33.254289979059756
25.661006553446,33.56125537125105
25.568284920739675,33.3762744242696
25.47548016737725,33.614589409768136
25.5787486834,33.58383464809172
25.123821584078474,33.07193872653113
25.858062282710232,33.30245653883111
25.984619690418135,33.28331839569135
25.521371135214828,32.977988580850365
25.464819559923498,32.59913318488166
25.368648291672386,33.15131616814189
25.527717513035874,32.91173717987755
25.93544707482763,33.09410046231985
25.933583493098865,33.38682839128481
25.46717075582258,33.41832771392352
26.137260262975172,33.76386453365843
25.83241082924053,33.53879051822527
25.523975268313528,33.162994596709375
25.406277217943817,33.1932541513399
26.14575500488402,33.845765159632535
25.37490093629959,33.20949826072864
25.16722854707589,33.30646193087517
25.712824096454735,33.39989754423872
25.91038155973856,33.69078832538207
26.153873432101737,33.82618224958237
25.708334082877986,33.52663892705785
25.71584376951089,33.488527168179324
25.41845000957569,33.29232247544444
25.989811976329918,33.80958429245717
25.057966327285015,33.24987313452417
25.78135817548027,32.76039343556885
25.99531495802127,33.843864257521105
25.567335220170463,33.31101163390017
26.03092821628693,33.22105979182442
25.767704263442255,33.2902865894865
26.009333747100804,33.545546159076686
25.605251267766462,33.11124364481397
25.87290262614891,33.88156826878735
26.359472233427763,33.67163167517584
25.34005686633741,32.90616864508479
25.784445416765273,33.57024896306374
25.876898291736534,33.37132195302154
25.370125272979003,33.16399080933091
25.83406313751076,33.1823311647623
25.51957017249469,33.40882596249063
25.845318848478872,33.02300407588226
25.62701360274069,33.181489576541665
25.720459000736746,33.83851191076518
25.522036486430782,33.09688699129564
25.619946779332132,33.37979452150086
25.647771994474727,33.81590687020613
25.594230663739292,33.82054760388782
26.10613645784709,32.73734562261862
25.695499873339276,32.770499411784726
25.217870398864484,33.53616998003484
25.33518145919565,32.87030384446002
25.72390670155642,33.38275826527918
25.824537973420234,33.65676967065248
25.9695069479992,33.72274743932405
25.789954879319257,33.478500620924294
25.16907993286908,32.86722426306522
26.038452124343817,33.14206293680108
25.412526944210637,32.84722325959637
25.89214136406474,33.75579938868885
25.3617169021227,32.847403492082584
26.496233534421982,34.182656833883215
25.339820640447343,32.87493890554977
25.408414780313354,33.66607856262463
25.43232047890239,33.075135357824465
25.35119482522085,33.31435627580191
25.619299764155564,32.68974780211981
25.358203171589267,33.63441863404141
25.135274802146988,33.12091392043169
26.116199192968427,33.21779815156746
25.962258619361986,33.91062877515352
25.720800661830243,33.85774955118539
25.485025253256453,33.10345855860987
25.63911108151694,33.554453588342824
25.64556678669513,33.514968870249994
25.40090892523267,33.25929879182623
24.841038247272564,33.100015846901115
26.011229177874046,33.07814166509357
25.48845701284133,33.252983603667055
25.820076235615883,33.54872058877302
25.768297919830584,33.091765759583964
25.921095885236365,33.62219047263691
25.885038883376346,33.43251886461998
25.765448441630163,33.53564984478232
25.55561525983555,33.95049800921089
24.990183417285316,32.85838107908134
26.050824039618924,34.08523714164972
26.06340176270736,33.41548242404673
25.683795057822053,33.573854884891205
25.747481914320332,33.502291778551516
26.364481120410716,33.32358634695851
25.80405182186419,33.17869897507895
25.554803879726187,33.69816896741861
26.071382689274614,33.46236866998743
25.31926765557025,32.95953063221701
25.853730958385814,33.624254239269206
26.083996991903817,33.31532341891502
25.320974843030115,32.913236750016374
25.74243241589292,33.007477533581635
25.467302560149996,33.460070317962646
25.49203596036426,33.3069952969868
25.812944920529848,33.39447063604281
25.09167337202737,32.74178630094628
25.765254616081847,33.388448834099705
25.195615000386404,33.55744420269309
25.358956871187367,33.3075667679622
25.829990088501113,33.977102493826074
25.669277186534902,32.51691193027118
25.42348610396569,33.20088322019136
25.355895219539715,33.31662892265866
25.242173312275177,33.27847272604894
26.191483609152247,33.880377034970365
26.121753339673468,33.1124273971727
26.08474704240883,33.4328622536562
25.559358569863228,33.30769932013982
25.72172178383498,33.11025960649018
25.46843507521046,33.40538767236359
25.117575073158108,33.0658032555785
25.658031476682194,33.16376541110267
25.562433593019332,33.285002971973235
25.842348069014687,33.3073841593212
26.251522666753406,33.71570729648247
26.032879130463204,33.24299319064728
26.080982938790466,33.12980497849342
25.465338693523726,32.50055481448722
25.859944051526043,33.227624727878066
25.471402859990278,33.61524617184073
25.876571980443185,33.415249905067284
25.672765629040438,33.30258791060156
25.930515388751605,33.52035356854337
25.44984580623925,33.98685162461602
25.770481343538588,33.45634970044028
25.4939722543422,33.292825354565785
25.423186555229222,33.43910353366952
25.851355721794093,33.905857087409295
25.72646675186728,33.206443567436644
25.500809378841225,32.93374408708407
25.743439621567838,33.1544606233348
25.829043074613637,33.28355331133701
25.25442910724765,33.13409034426726
25.00262835261836,32.75616394761188
25.439437454813227,33.15929218434208
25.679004411702717,32.770616031546226
25.409571388207084,33.171722966343864
25.529107301545054,32.89825058810019
25.612188564520206,33.19734048032549
26.105014870108793,33.579223865297365
25.625556177327805,33.16324745318259
26.007720053291195,33.903876152466246
25.366622066253157,33.185554816183156
25.27378327864529,33.17873649351659
25.625041847716197,33.47471684646175
25.59186960685061,33.187760504206175
25.2801749748805,33.070218839369915
25.329949902988282,33.27318242084452
25.617817154396857,33.08593648143421
25.50517790606895,33.01684529829564
25.61642626626431,33.0686142600228
25.951903710926185,33.44790999556785
25.500364468092126,33.17506537299844
25.149798872144768,33.071646361041324
25.863190514468187,33.05144417123146
25.570973117156033,32.7192175035829
25.56326491260437,32.92505653858336
26.02740206765768,32.90991263397011
25.701802885312148,33.94581161213071
25.637075201181744,32.85164497541764
25.483368254815204,33.850454009649056
25.70683418677418,33.75086878947493
25.634975826016028,33.64450768319785
25.642213485064957,32.8594377944062
26.048833396888636,33.456302325906215
26.039316669963203,33.308038122806174
25.52371695236962,32.812780946650015
25.346077233213403,33.081082189218264
25.6426524894077,32.86480857141718
25.73103745284103,33.22057337061107
26.12669291791486,33.55103346231462
25.9463991147024,33.66679193534
25.7022081008471,32.922551699914024
25.372473028089388,33.201629778597336
25.79732246737177,33.80617404956353
25.532892685336755,33.22379240483573
26.065876359672007,33.16939811055571
25.760579023669088,33.833438777077326
25.958134211849767,33.35886865762424
25.87683931875483,33.08734907622612
25.7265073130614,33.12500902769717
25.448240040719927,33.61301995767114
25.956073110348534,33.20895046259027
25.246285800669163,33.3964323686763
25.7769675286135,34.12108606814901
25.14042109544175,33.235568836330444
25.740653772573207,33.661773441353105
25.741531997839992,33.4563927878079
25.84929066473992,33.55626250698958
25.981833666843563,34.163890853376394
25.359974558936596,32.64629779051348
25.550228529147628,33.33392526887031
25.314341686034414,33.27810992480719
25.34597559165936,33.04759523313499
25.57672141448663,33.294421155317444
25.618815788553206,33.87344213365786
26.122938673097764,33.43433581847521
25.613979116124707,33.22570688417298
25.651883633505406,33.20669735222703
25.242655231962154,33.356143006225174
25.635584530001676,33.22414845296636
25.30296854617688,32.699727332119366
25.794107696646133,32.782882095960986
25.535845574876983,33.275250688618044
25.4148172681043,33.014525627906465
25.684730394205435,33.79711501927422
25.39180628203369,32.605558008253475
25.535678560558537,32.95586316006764
25.732240129477805,33.574388511218835
25.548945221970147,33.15678929049217
25.809698630718884,32.8659522867218
25.919906246854367,33.84866742645005
25.615330500517118,33.243490594608836
25.69407876289546,33.46657176393908
25.644928729789406,33.60458597415128
25.034124700987853,32.636587169283764
25.496487448732953,33.133309940431154
25.338184420079877,33.18708317603564
26.102986132820984,33.83002168742682
25.585007333439883,33.554291752092524
25.855160439573137,33.877155822336164
